time,temperature,humidity,measured_mass,initial_mass,equilibrium_mass
4.166666666666667,22,85,24.412,51.473,2.492
4.166666666666667,27,65,0.199,49.792,1.249
4.166666666666667,27,85,16.181,49.625,2.047
4.25,10,40,0.911,49.467,1.195
4.25,10,65,19.454,48.392,1.444
4.25,10,85,36.371,50.55,1.865
4.25,22,65,5.74,50.181,1.54
4.25,22,85,23.917,51.473,2.492
4.25,27,65,-0.682,49.792,1.249
4.25,27,85,15.846,49.625,2.047
4.333333333333333,10,40,0.735,49.467,1.195
4.333333333333333,10,65,18.198,48.392,1.444
4.333333333333333,10,85,36.98,50.55,1.865
4.333333333333333,22,65,3.867,50.181,1.54
4.333333333333333,22,85,23.109,51.473,2.492
4.333333333333333,27,65,0.259,49.792,1.249
4.333333333333333,27,85,14.891,49.625,2.047
4.416666666666667,10,40,0.503,49.467,1.195
4.416666666666667,10,65,18.806,48.392,1.444
4.416666666666667,10,85,35.696,50.55,1.865
4.416666666666667,22,65,4.326,50.181,1.54
4.416666666666667,22,85,22.912,51.473,2.492
4.416666666666667,27,85,14.317,49.625,2.047
4.5,10,40,0.607,49.467,1.195
4.5,10,65,18.14,48.392,1.444
4.5,10,85,35.208,50.55,1.865
4.5,22,65,3.17,50.181,1.54
4.5,22,85,23.451,51.473,2.492
4.5,27,85,13.297,49.625,2.047
4.583333333333333,10,40,1.097,49.467,1.195
4.583333333333333,10,65,17.734,48.392,1.444
4.583333333333333,10,85,35.18,50.55,1.865
4.583333333333333,22,65,2.681,50.181,1.54
4.583333333333333,22,85,23.305,51.473,2.492
4.583333333333333,27,85,13.296,49.625,2.047
4.666666666666667,10,40,0.748,49.467,1.195
4.666666666666667,10,65,16.508,48.392,1.444
4.666666666666667,10,85,34.456,50.55,1.865
4.666666666666667,22,65,1.634,50.181,1.54
4.666666666666667,22,85,22.913,51.473,2.492
4.666666666666667,27,85,12.545,49.625,2.047
4.75,10,40,0.683,49.467,1.195
4.75,10,65,16.949,48.392,1.444
4.75,10,85,35.119,50.55,1.865
4.75,22,65,1.54,50.181,1.54
4.75,22,85,22.005,51.473,2.492
4.75,27,85,11.862,49.625,2.047
4.833333333333333,10,65,16.347,48.392,1.444
4.833333333333333,10,85,33.729,50.55,1.865
4.833333333333333,22,65,2.102,50.181,1.54
4.833333333333333,22,85,21.452,51.473,2.492
4.833333333333333,27,85,11.805,49.625,2.047
4.916666666666667,10,65,16.003,48.392,1.444
4.916666666666667,10,85,34.495,50.55,1.865
4.916666666666667,22,65,1.415,50.181,1.54
4.916666666666667,22,85,21.962,51.473,2.492
4.916666666666667,27,85,11.026,49.625,2.047
5,10,65,16.54,48.392,1.444
5,10,85,34.101,50.55,1.865
5,22,65,0.266,50.181,1.54
5,22,85,20.917,51.473,2.492
5,27,85,10.119,49.625,2.047
5.083333333333333,10,65,15.475,48.392,1.444
5.083333333333333,10,85,34.45,50.55,1.865
5.083333333333333,22,65,0.974,50.181,1.54
5.083333333333333,22,85,20.041,51.473,2.492
5.083333333333333,27,85,9.998,49.625,2.047
5.166666666666667,10,65,16.187,48.392,1.444
5.166666666666667,10,85,33.141,50.55,1.865
5.166666666666667,22,65,1.457,50.181,1.54
5.166666666666667,22,85,19.89,51.473,2.492
5.166666666666667,27,85,9.48,49.625,2.047
5.25,10,65,15.099,48.392,1.444
5.25,10,85,33.225,50.55,1.865
5.25,22,65,0.776,50.181,1.54
5.25,22,85,19.473,51.473,2.492
5.25,27,85,8.791,49.625,2.047
5.333333333333333,10,65,14.387,48.392,1.444
5.333333333333333,10,85,32.294,50.55,1.865
5.333333333333333,22,65,1.132,50.181,1.54
5.333333333333333,22,85,18.185,51.473,2.492
5.333333333333333,27,85,8.751,49.625,2.047
5.416666666666667,10,65,13.915,48.392,1.444
5.416666666666667,10,85,33.023,50.55,1.865
5.416666666666667,22,65,1.398,50.181,1.54
5.416666666666667,22,85,17.382,51.473,2.492
5.416666666666667,27,85,8.085,49.625,2.047
5.5,10,65,13.229,48.392,1.444
5.5,10,85,30.693,50.55,1.865
5.5,22,65,0.671,50.181,1.54
5.5,22,85,17.067,51.473,2.492
5.5,27,85,7.634,49.625,2.047
5.583333333333333,10,65,13.1,48.392,1.444
5.583333333333333,10,85,31.522,50.55,1.865
5.583333333333333,22,65,0.77,50.181,1.54
5.583333333333333,22,85,17.293,51.473,2.492
5.583333333333333,27,85,7.419,49.625,2.047
